anio mes dia compania atendidos respuesta
2017 10 1 AlaskaAir 1 2.1
2017 10 1 VirginAtlantic 1 58.06666666666667
2017 10 2 AlaskaAir 1 10.716666666666669
2017 10 2 British_Airways 1 59.983333333333334
2017 10 2 JetBlue 1 11.533333333333331
2017 10 2 VirginAmerica 24 6.272916666666666
2017 10 2 VirginAtlantic 1 45.06666666666667
2017 10 3 AlaskaAir 49 5.450680272108843
2017 10 3 British_Airways 1 37.18333333333333
2017 10 3 JetBlue 23 7.434782608695652
2017 10 3 VirginAmerica 31 6.315053763440861
2017 10 3 VirginAtlantic 27 7.51358024691358
2017 10 4 AlaskaAir 53 4.274842767295597
2017 10 4 British_Airways 58 24.27528735632184
2017 10 4 JetBlue 107 7.643457943925234
2017 10 4 VirginAmerica 29 5.7971264367816095
2017 10 4 VirginAtlantic 19 19.62543859649123
2017 10 5 AlaskaAir 76 4.371929824561404
2017 10 5 British_Airways 76 27.695394736842104
2017 10 5 JetBlue 87 5.37183908045977
2017 10 5 VirginAmerica 24 4.86875
2017 10 5 VirginAtlantic 25 30.63
2017 10 6 AlaskaAir 69 9.581400966183574
2017 10 6 British_Airways 43 21.645736434108528
2017 10 6 JetBlue 86 6.754651162790697
2017 10 6 VirginAmerica 29 6.841379310344828
2017 10 6 VirginAtlantic 37 12.003153153153153
2017 10 7 AlaskaAir 87 4.587739463601532
2017 10 7 British_Airways 48 19.281944444444445
2017 10 7 JetBlue 76 3.501535087719298
2017 10 7 VirginAmerica 35 2.9833333333333334
2017 10 7 VirginAtlantic 56 23.376785714285713
2017 10 8 AlaskaAir 71 5.948826291079812
2017 10 8 British_Airways 89 30.96067415730337
2017 10 8 JetBlue 130 6.623717948717949
2017 10 8 VirginAmerica 27 8.472222222222221
2017 10 8 VirginAtlantic 77 26.07121212121212
2017 10 9 AlaskaAir 96 8.656597222222222
2017 10 9 British_Airways 80 32.588541666666664
2017 10 9 JetBlue 155 7.610215053763441
2017 10 9 VirginAmerica 35 11.058571428571428
2017 10 9 VirginAtlantic 34 7.097058823529411
2017 10 10 AlaskaAir 87 6.075862068965518
2017 10 10 British_Airways 55 20.356666666666666
2017 10 10 JetBlue 127 9.038451443569555
2017 10 10 VirginAmerica 42 5.985714285714286
2017 10 10 VirginAtlantic 31 14.646774193548387
2017 10 11 AlaskaAir 99 5.0122895622895625
2017 10 11 British_Airways 52 18.343589743589742
2017 10 11 JetBlue 98 5.9438775510204085
2017 10 11 VirginAmerica 38 5.651754385964912
2017 10 11 VirginAtlantic 27 12.717283950617285
2017 10 12 AlaskaAir 114 6.579385964912281
2017 10 12 British_Airways 57 34.018713450292395
2017 10 12 JetBlue 107 4.697040498442368
2017 10 12 VirginAmerica 57 5.605847953216374
2017 10 12 VirginAtlantic 51 18.13921568627451
2017 10 13 AirAsiaSupport 1 5.45
2017 10 13 AlaskaAir 101 5.537458745874587
2017 10 13 British_Airways 59 19.59265536723164
2017 10 13 JetBlue 104 3.8610576923076922
2017 10 13 VirginAmerica 44 7.583333333333334
2017 10 13 VirginAtlantic 52 31.771153846153847
2017 10 14 AlaskaAir 91 3.403113553113553
2017 10 14 British_Airways 26 20.95
2017 10 14 JetBlue 78 4.842307692307692
2017 10 14 VirginAmerica 39 4.77991452991453
2017 10 14 VirginAtlantic 30 13.615
2017 10 15 AlaskaAir 69 3.928743961352657
2017 10 15 British_Airways 28 16.10238095238095
2017 10 15 JetBlue 95 5.983333333333333
2017 10 15 VirginAmerica 18 4.644444444444445
2017 10 15 VirginAtlantic 49 24.068367346938775
2017 10 16 AlaskaAir 79 5.057172995780591
2017 10 16 British_Airways 39 24.564529914529913
2017 10 16 JetBlue 94 5.680496453900709
2017 10 16 VirginAmerica 32 4.6046875
2017 10 16 VirginAtlantic 50 31.981
2017 10 17 AirAsiaSupport 81 31.02448559670782
2017 10 17 AlaskaAir 98 5.531802721088435
2017 10 17 British_Airways 48 19.86111111111111
2017 10 17 JetBlue 114 6.218567251461988
2017 10 17 VirginAmerica 37 7.591441441441441
2017 10 17 VirginAtlantic 45 8.29888888888889
2017 10 18 AirAsiaSupport 27 29.84567901234568
2017 10 18 AlaskaAir 80 5.8481250000000005
2017 10 18 British_Airways 48 25.710416666666667
2017 10 18 JetBlue 84 5.345634920634921
2017 10 18 VirginAmerica 27 6.320987654320987
2017 10 18 VirginAtlantic 43 12.003100775193799
2017 10 19 AirAsiaSupport 21 31.424603174603174
2017 10 19 AlaskaAir 85 8.226666666666667
2017 10 19 British_Airways 38 26.364473684210527
2017 10 19 JetBlue 113 4.528761061946903
2017 10 19 VirginAmerica 73 8.194520547945206
2017 10 19 VirginAtlantic 31 11.705376344086021
2017 10 20 AirAsiaSupport 13 23.20769230769231
2017 10 20 AlaskaAir 106 6.203459119496856
2017 10 20 British_Airways 28 16.589880952380952
2017 10 20 JetBlue 115 6.6121739130434785
2017 10 20 VirginAmerica 86 4.400581395348837
2017 10 20 VirginAtlantic 47 15.115602836879432
2017 10 21 AirAsiaSupport 13 18.056410256410256
2017 10 21 AlaskaAir 105 2.9006349206349205
2017 10 21 British_Airways 31 19.329032258064515
2017 10 21 JetBlue 69 4.830917874396135
2017 10 21 VirginAmerica 27 3.799382716049383
2017 10 21 VirginAtlantic 40 28.194583333333334
2017 10 22 AirAsiaSupport 21 30.997619047619047
2017 10 22 AlaskaAir 77 4.444372294372294
2017 10 22 British_Airways 29 13.720689655172414
2017 10 22 JetBlue 57 3.0652046783625733
2017 10 22 VirginAmerica 22 2.56969696969697
2017 10 22 VirginAtlantic 43 18.05503875968992
2017 10 23 AirAsiaSupport 21 21.582539682539682
2017 10 23 AlaskaAir 100 8.906333333333333
2017 10 23 British_Airways 29 16.558045977011496
2017 10 23 JetBlue 99 3.5703703703703704
2017 10 23 VirginAmerica 34 8.719117647058823
2017 10 23 VirginAtlantic 41 16.772764227642277
2017 10 24 AirAsiaSupport 14 27.982142857142858
2017 10 24 AlaskaAir 89 6.0063670411985015
2017 10 24 British_Airways 27 19.451234567901235
2017 10 24 JetBlue 83 6.027309236947791
2017 10 24 VirginAmerica 40 5.62625
2017 10 24 VirginAtlantic 45 19.502222222222223
2017 10 25 AirAsiaSupport 23 21.76159420289855
2017 10 25 AlaskaAir 77 7.72012987012987
2017 10 25 British_Airways 19 19.530701754385966
2017 10 25 JetBlue 91 4.601465201465201
2017 10 25 VirginAmerica 24 8.563888888888888
2017 10 25 VirginAtlantic 31 13.7747311827957
2017 10 26 AirAsiaSupport 13 15.691025641025641
2017 10 26 AlaskaAir 112 7.656696428571428
2017 10 26 British_Airways 31 12.209677419354838
2017 10 26 JetBlue 100 4.3655
2017 10 26 VirginAmerica 27 6.737654320987654
2017 10 26 VirginAtlantic 25 30.218666666666667
2017 10 27 AirAsiaSupport 12 21.2
2017 10 27 AlaskaAir 114 3.5975146198830408
2017 10 27 British_Airways 53 20.683333333333334
2017 10 27 JetBlue 86 7.0162790697674415
2017 10 27 VirginAmerica 34 4.061274509803922
2017 10 27 VirginAtlantic 38 16.362719298245615
2017 10 28 AirAsiaSupport 21 21.284920634920635
2017 10 28 AlaskaAir 62 3.881989247311828
2017 10 28 British_Airways 23 15.376811594202898
2017 10 28 JetBlue 44 4.8753787878787875
2017 10 28 VirginAmerica 24 3.345138888888889
2017 10 28 VirginAtlantic 42 14.369444444444445
2017 10 29 AirAsiaSupport 61 12.962841530054645
2017 10 29 AlaskaAir 74 6.748873873873874
2017 10 29 British_Airways 30 15.333333333333334
2017 10 29 JetBlue 97 8.527835051546392
2017 10 29 VirginAmerica 24 9.953472222222222
2017 10 29 VirginAtlantic 42 28.732539682539684
2017 10 30 AirAsiaSupport 63 35.3005291005291
2017 10 30 AlaskaAir 88 5.396780303030303
2017 10 30 British_Airways 41 25.5739837398374
2017 10 30 JetBlue 92 4.466847826086957
2017 10 30 VirginAmerica 28 5.991071428571429
2017 10 30 VirginAtlantic 33 29.668181818181818
2017 10 31 AirAsiaSupport 8 20.214583333333334
2017 10 31 AlaskaAir 61 4.324863387978142
2017 10 31 British_Airways 34 12.502941176470587
2017 10 31 JetBlue 52 5.683653846153846
2017 10 31 VirginAmerica 42 3.984920634920635
2017 10 31 VirginAtlantic 65 20.675384615384615
2017 11 1 AirAsiaSupport 7 24.011904761904763
2017 11 1 AlaskaAir 76 9.721710526315789
2017 11 1 British_Airways 27 17.70246913580247
2017 11 1 JetBlue 88 4.940340909090909
2017 11 1 VirginAmerica 19 5.651754385964912
2017 11 1 VirginAtlantic 55 28.62151515151515
2017 11 2 AirAsiaSupport 27 22.189506172839508
2017 11 2 AlaskaAir 87 4.364942528735632
2017 11 2 British_Airways 46 24.89855072463768
2017 11 2 JetBlue 82 4.363008130081301
2017 11 2 VirginAmerica 33 4.013131313131313
2017 11 2 VirginAtlantic 43 7.56046511627907
2017 11 3 AirAsiaSupport 10 22.746666666666666
2017 11 3 AlaskaAir 268 12.914054726368159
2017 11 3 British_Airways 58 28.108333333333334
2017 11 3 JetBlue 113 4.81283185840708
2017 11 3 VirginAmerica 38 11.72280701754386
2017 11 3 VirginAtlantic 38 9.179385964912282
2017 11 4 AirAsiaSupport 8 21.647916666666667
2017 11 4 AlaskaAir 190 11.432719298245614
2017 11 4 British_Airways 15 17.087777777777777
2017 11 4 JetBlue 71 3.1293427230046946
2017 11 4 VirginAmerica 26 14.635897435897435
2017 11 4 VirginAtlantic 53 16.531761006289308
2017 11 5 AirAsiaSupport 19 33.09649122807018
2017 11 5 AlaskaAir 87 7.093486590038315
2017 11 5 British_Airways 32 24.684895833333336
2017 11 5 JetBlue 70 3.9595238095238097
2017 11 5 VirginAmerica 29 5.124712643678161
2017 11 5 VirginAtlantic 22 6.998484848484848
2017 11 6 AirAsiaSupport 29 38.81666666666667
2017 11 6 AlaskaAir 118 7.809887005649718
2017 11 6 British_Airways 34 16.198529411764707
2017 11 6 JetBlue 108 4.769598765432098
2017 11 6 VirginAmerica 51 9.631372549019607
2017 11 6 VirginAtlantic 24 29.5625
2017 11 7 AirAsiaSupport 18 19.75925925925926
2017 11 7 AlaskaAir 60 5.986111111111111
2017 11 7 British_Airways 108 31.660493827160494
2017 11 7 JetBlue 88 5.46875
2017 11 7 VirginAmerica 30 7.3244444444444445
2017 11 7 VirginAtlantic 39 19.573931623931625
2017 11 8 AirAsiaSupport 10 21.191666666666666
2017 11 8 AlaskaAir 82 6.055487804878049
2017 11 8 British_Airways 50 28.342333333333332
2017 11 8 JetBlue 93 5.6637992831541215
2017 11 8 VirginAmerica 26 7.976923076923077
2017 11 8 VirginAtlantic 51 14.195751633986928
2017 11 9 AirAsiaSupport 14 22.385714285714286
2017 11 9 AlaskaAir 96 8.951909722222222
2017 11 9 British_Airways 98 31.747108843537415
2017 11 9 JetBlue 96 5.024479166666667
2017 11 9 VirginAmerica 35 4.671428571428572
2017 11 9 VirginAtlantic 37 8.104954954954955
2017 11 10 AirAsiaSupport 16 22.551041666666666
2017 11 10 AlaskaAir 90 6.014074074074074
2017 11 10 British_Airways 83 26.975301204819278
2017 11 10 JetBlue 96 6.222916666666666
2017 11 10 VirginAmerica 38 6.280701754385965
2017 11 10 VirginAtlantic 61 11.05464480874317
2017 11 11 AirAsiaSupport 6 31.233333333333334
2017 11 11 AlaskaAir 39 3.0974358974358975
2017 11 11 British_Airways 31 24.273118279569893
2017 11 11 JetBlue 109 6.609633027522936
2017 11 11 VirginAmerica 25 4.074
2017 11 11 VirginAtlantic 23 18.03768115942029
2017 11 12 AlaskaAir 28 5.866666666666666
2017 11 12 British_Airways 2 26.491666666666667
2017 11 12 JetBlue 72 4.244907407407408
2017 11 12 VirginAmerica 19 4.8956140350877195
2017 11 12 VirginAtlantic 37 17.295495495495494
2017 11 13 AirAsiaSupport 10 23.803333333333335
2017 11 13 AlaskaAir 71 5.776525821596244
2017 11 13 British_Airways 35 35.7347619047619
2017 11 13 JetBlue 82 5.854065040650407
2017 11 13 VirginAmerica 27 5.512962962962963
2017 11 13 VirginAtlantic 38 7.253070175438596
2017 11 14 AirAsiaSupport 17 21.646078431372548
2017 11 14 AlaskaAir 90 4.645925925925926
2017 11 14 British_Airways 41 19.43780487804878
2017 11 14 JetBlue 80 9.082083333333333
2017 11 14 VirginAmerica 27 3.898148148148148
2017 11 14 VirginAtlantic 28 24.62559523809524
2017 11 15 AirAsiaSupport 11 14.387878787878787
2017 11 15 AlaskaAir 64 4.959635416666667
2017 11 15 British_Airways 137 34.15961070559611
2017 11 15 JetBlue 67 6.284577114427861
2017 11 15 VirginAmerica 33 5.32979797979798
2017 11 15 VirginAtlantic 22 21.354545454545455
2017 11 16 AirAsiaSupport 18 21.40462962962963
2017 11 16 AlaskaAir 86 6.553294573643411
2017 11 16 British_Airways 83 24.839156626506025
2017 11 16 JetBlue 105 5.158253968253968
2017 11 16 VirginAmerica 35 6.964285714285714
2017 11 16 VirginAtlantic 23 12.460869565217392
2017 11 17 AirAsiaSupport 13 25.125641025641027
2017 11 17 AlaskaAir 93 4.277598566308244
2017 11 17 British_Airways 72 28.493055555555554
2017 11 17 JetBlue 70 4.34
2017 11 17 VirginAmerica 51 4.26437908496732
2017 11 17 VirginAtlantic 31 14.816666666666666
2017 11 18 AlaskaAir 46 7.094565217391304
2017 11 18 British_Airways 6 50.8
2017 11 18 JetBlue 39 3.138034188034188
2017 11 18 VirginAmerica 42 4.92936507936508
2017 11 18 VirginAtlantic 19 5.58421052631579
2017 11 19 AirAsiaSupport 132 19.33800505050505
2017 11 19 AlaskaAir 64 4.262239583333333
2017 11 19 British_Airways 64 33.725260416666664
2017 11 19 JetBlue 81 5.720164609053498
2017 11 19 VirginAmerica 26 4.49423076923077
2017 11 19 VirginAtlantic 30 6.0777777777777775
2017 11 20 AirAsiaSupport 106 31.66698113207547
2017 11 20 AlaskaAir 61 4.49016393442623
2017 11 20 British_Airways 47 26.602127659574467
2017 11 20 JetBlue 69 4.694444444444445
2017 11 20 VirginAmerica 35 7.966666666666667
2017 11 20 VirginAtlantic 25 20.714
2017 11 21 AirAsiaSupport 137 15.753284671532846
2017 11 21 AlaskaAir 80 5.449791666666667
2017 11 21 British_Airways 58 33.74511494252874
2017 11 21 JetBlue 90 5.492222222222222
2017 11 21 VirginAmerica 35 6.64952380952381
2017 11 21 VirginAtlantic 29 9.549425287356321
2017 11 22 AirAsiaSupport 132 20.9979797979798
2017 11 22 AlaskaAir 97 6.982474226804124
2017 11 22 British_Airways 23 14.23840579710145
2017 11 22 JetBlue 91 3.438644688644689
2017 11 22 VirginAmerica 27 9.75925925925926
